IP Address	Number of Adjacencies
141.101.237.25	6
130.97.161.167	7
100.250.7.224	4
113.209.31.155	6
139.121.134.61	7
185.79.187.21	10
221.251.124.140	7
141.245.81.201	1
16.219.145.104	3
44.2.236.9	5
77.87.53.182	5
120.30.22.226	4
158.190.217.97	6
195.225.128.222	10
19.155.170.29	7
206.29.149.53	6
247.246.43.217	9
57.33.96.172	5
223.105.43.96	10
3.189.140.252	5
181.86.245.221	4
212.180.20.37	7
175.208.247.78	6
34.130.21.176	8
201.142.84.172	10
21.141.149.111	9
84.22.196.159	13
215.136.67.78	9
198.36.131.179	7
224.217.50.135	10
160.45.185.230	9
212.193.1.169	7
73.101.57.111	5
184.202.2.81	5
92.225.54.178	7
157.127.23.247	4
185.42.52.37	9
171.67.202.101	9
171.212.173.112	4
95.194.221.184	10
205.192.213.14	5
5.18.173.43	8
31.142.22.243	7
45.55.172.41	4
51.144.246.127	9
78.5.46.161	6
90.4.244.59	3
36.70.228.110	5
78.53.238.70	7
92.179.169.114	5
93.242.29.98	7
101.61.247.207	7
109.19.84.213	9
123.126.14.15	7
218.66.24.62	7
226.137.181.1	7
172.56.244.83	6
174.138.119.26	5
127.57.52.57	7
161.248.224.178	5
130.237.166.185	7
188.153.71.132	9
213.115.3.49	11
219.152.103.35	9
226.18.69.92	5
35.102.148.116	4
45.133.163.95	7
240.170.198.110	7
124.21.77.245	6
173.171.94.249	5
84.244.10.150	11
101.14.46.234	9
243.15.166.113	6
65.165.50.196	9
110.78.155.81	8
29.105.187.193	8
141.205.223.149	1
26.206.202.125	7
204.45.119.183	9
245.51.81.20	6
67.246.168.31	7
158.252.81.170	10
37.103.196.72	5
148.139.123.25	12
117.77.131.164	8
94.100.196.194	9
103.53.5.39	6
74.221.54.1	5
113.172.76.179	4
187.151.139.197	7
197.2.90.40	4
34.171.57.217	9
197.231.88.156	10
222.2.195.232	8
32.242.25.72	5
214.94.231.138	11
231.217.36.128	4
229.127.124.73	14
233.129.181.187	5
241.95.49.165	11
244.111.147.191	6
24.83.152.164	6
59.11.188.111	9
110.148.62.177	8
204.76.187.93	7
183.156.142.86	6
28.221.194.197	8
102.4.127.105	7
145.33.166.119	7
145.99.186.83	3
33.101.164.102	7
158.192.77.248	6
184.238.90.136	9
234.116.134.164	3
32.236.50.191	5
62.12.95.30	11
162.162.143.137	6
184.191.239.152	3
212.244.46.133	7
117.246.180.70	9
145.145.136.251	5
228.157.166.243	8
146.58.44.93	7
155.219.18.58	5
210.143.126.20	7
252.248.149.176	7
59.210.134.229	6
243.224.88.33	7
41.12.68.42	7
88.91.103.176	9
89.62.126.210	6
224.127.165.105	4
123.68.81.233	8
146.143.94.231	4
5.231.44.161	6
8.227.80.50	10
213.148.99.152	9
47.42.187.162	7
57.128.10.245	3
126.184.15.31	9
84.159.215.185	5
63.254.75.244	4
161.237.237.14	5
165.238.93.227	12
60.47.20.167	5
49.154.153.99	10
207.72.44.67	11
218.59.59.215	5
169.19.36.78	3
16.72.132.202	4
118.19.127.72	7
13.221.253.243	7
63.143.95.221	11
217.183.232.126	8
40.171.15.237	10
174.42.4.64	6
253.212.189.177	9
104.245.167.84	6
7.84.5.211	6
108.180.2.75	5
102.237.31.193	5
159.66.179.242	10
210.67.215.206	7
197.205.97.43	10
75.102.214.20	7
14.2.20.138	11
116.228.77.155	6
240.235.249.202	10
168.168.254.143	2
52.81.243.167	5
73.111.43.108	8
231.124.246.172	6
49.77.56.222	1
201.205.213.192	5
169.26.48.44	11
228.152.206.155	2
128.69.125.128	13
74.19.211.230	11
147.173.226.45	7
24.18.115.185	13
189.15.195.170	6
147.91.160.7	5
33.242.24.98	5
26.104.170.32	8
230.131.217.140	10
60.79.121.46	6
38.63.213.151	8
150.27.132.74	5
195.167.232.53	5
246.94.65.220	3
57.2.104.204	6
17.127.113.70	6
36.15.1.145	5
83.173.113.244	7
192.249.254.64	6
7.133.122.133	6
137.177.43.163	7
55.25.28.238	14
195.181.126.205	10
148.184.87.45	4
56.51.239.97	7
199.96.144.32	5
168.37.209.27	4
246.57.7.173	6
78.243.168.162	6
203.48.48.157	6
114.222.237.43	10
237.183.234.142	13
57.148.25.175	7
46.176.140.175	2
16.60.29.191	4
14.59.113.215	3
161.154.128.201	8
194.100.134.119	6
109.105.132.179	12
232.42.70.188	8
235.40.18.249	5
82.227.246.231	8
234.226.62.211	8
120.187.72.63	3
34.165.143.205	7
52.74.20.199	7
63.197.192.81	3
164.74.227.247	5
182.213.243.113	5
88.13.139.91	9
120.250.87.70	6
130.86.177.121	5
157.45.141.31	9
106.254.82.218	5
195.139.58.56	8
5.149.195.151	9
211.61.233.104	7
24.222.175.248	8
138.168.75.192	5
7.7.190.144	8
139.227.181.154	7
183.114.239.229	5
205.144.249.192	4
9.21.2.168	5
164.110.223.114	7
189.176.48.109	6
149.239.196.224	6
200.90.241.196	9
225.28.220.55	6
249.125.3.157	6
26.2.245.147	5
15.150.84.239	5
9.133.23.42	2
97.83.120.161	6
177.226.212.38	6
104.108.169.156	11
217.246.164.100	10
74.37.16.80	1
86.77.245.222	5
14.191.8.239	5
132.179.253.190	5
156.15.79.240	3
176.78.221.199	6
48.39.102.236	5
71.231.64.253	10
202.2.7.146	5
228.102.154.101	11
242.88.72.166	7
13.244.16.185	4
68.44.3.145	9
212.185.221.108	11
46.142.110.70	3
55.160.18.212	6
216.6.59.205	2
165.40.244.61	10
247.59.222.83	7
182.61.103.63	9
237.60.17.127	6
71.197.195.108	4
87.32.17.55	7
253.125.13.198	5
195.162.68.172	6
145.4.19.104	8
37.244.212.212	6
83.12.74.221	4
45.135.110.31	4
132.32.200.171	9
95.198.245.69	10
153.14.167.228	5
9.73.185.168	5
139.164.28.177	6
157.220.178.92	3
206.175.183.75	3
207.70.161.13	7
37.184.244.174	7
54.243.20.11	9
106.158.38.164	6
230.45.60.90	5
169.189.25.153	3
77.132.136.187	4
172.115.126.39	8
46.67.40.230	10
177.30.90.210	9
30.96.238.80	9
75.138.200.200	7
143.40.233.183	2
200.183.223.89	4
48.173.155.184	8
142.40.135.102	5
162.33.10.206	7
221.41.43.218	4
188.222.70.36	9
227.105.99.28	6
228.85.58.57	7
10.178.113.183	9
83.23.27.68	6
109.159.186.215	10
120.127.212.211	7
230.204.142.96	9
236.156.145.183	8
106.224.254.91	6
241.9.213.193	5
183.82.131.223	5
162.60.247.137	6
176.221.219.98	6
89.148.105.247	4
244.230.8.238	3
64.135.19.183	8
60.32.15.157	6
4.195.47.225	6
229.113.233.99	9
69.110.194.68	10
103.123.166.86	9
70.45.99.5	7
222.58.9.213	8
174.153.196.196	2
210.10.49.126	3
10.133.211.143	10
126.50.13.128	3
234.70.206.121	13
15.15.169.106	5
49.184.174.150	10
20.170.10.37	6
69.38.122.149	4
72.176.155.111	12
55.154.98.34	9
61.8.26.6	8
159.117.204.155	7
21.74.231.164	12
73.108.216.218	4
104.122.58.100	9
146.222.177.224	7
112.3.24.37	8
163.33.235.129	2
74.103.216.157	8
167.128.221.251	3
182.78.118.168	5
69.196.2.52	6
182.168.197.160	11
186.75.2.252	6
78.248.33.40	8
86.17.75.36	3
83.35.150.152	12
142.241.143.189	5
189.1.87.196	7
207.56.65.235	4
51.99.55.241	9
207.217.179.20	8
163.153.254.188	8
215.24.36.107	10
200.49.115.142	6
215.134.116.2	6
217.188.210.181	9
152.222.88.101	7
107.26.81.134	13
87.125.102.79	7
217.236.94.63	3
168.117.92.115	8
162.232.236.46	2
172.196.163.71	12
241.39.199.179	3
72.68.237.14	11
253.109.247.241	6
25.24.45.107	12
6.51.6.133	7
106.46.155.68	8
48.26.208.190	6
70.143.177.143	10
196.24.26.215	5
129.178.118.226	4
168.153.132.27	6
81.231.155.131	9
188.55.94.21	10
55.94.42.166	6
71.100.174.231	7
137.204.190.228	14
194.251.9.180	13
77.56.178.252	5
93.49.129.60	15
221.16.206.155	5
144.187.176.182	6
64.4.160.231	4
39.96.155.141	7
98.200.148.5	7
109.113.40.246	4
75.7.29.67	7
122.101.13.112	4
10.10.21.116	8
65.200.234.16	9
73.196.146.35	2
134.123.53.207	3
157.237.171.58	8
177.180.206.159	9
198.153.124.22	5
200.100.199.169	9
37.70.148.111	9
167.132.36.192	5
123.85.102.193	7
232.39.19.43	7
103.221.138.161	8
173.42.48.9	9
72.18.39.41	11
204.243.18.182	6
5.147.204.51	6
237.33.159.83	4
252.233.129.65	6
16.87.182.160	10
25.116.248.143	6
74.226.166.95	6
86.163.33.138	7
6.113.112.197	8
45.130.239.60	4
93.34.114.119	7
94.154.105.170	5
124.60.211.8	5
141.215.211.32	8
69.182.189.42	7
91.61.207.202	6
145.139.62.30	12
125.78.73.35	8
160.89.220.39	10
111.185.48.208	10
186.225.36.38	9
187.206.125.220	9
195.60.51.34	6
209.222.201.15	2
66.195.226.195	6
193.103.241.162	7
228.124.107.124	8
170.41.178.85	4
93.178.233.243	4
104.235.169.33	9
214.147.119.37	1
170.189.109.41	10
150.238.177.52	10
221.233.8.100	11
122.124.233.232	7
239.186.248.47	7
25.190.107.194	10
35.168.33.241	8
73.64.177.185	9
151.11.80.67	7
224.52.125.104	2
54.48.137.174	8
36.98.192.56	9
130.21.66.3	4
215.244.30.101	2
230.69.188.204	11
151.204.64.11	10
140.161.21.173	8
166.84.177.151	5
9.140.40.140	7
31.215.69.228	4
104.165.89.52	9
131.83.150.37	7
74.86.14.41	4
24.161.150.196	7
20.34.21.58	7
118.39.148.225	5
90.105.43.212	5
107.28.167.187	9
119.3.84.44	6
143.208.96.11	6
38.18.235.122	9
151.201.187.135	9
71.41.254.197	8
161.247.240.13	9
35.102.37.15	6
195.90.28.169	2
41.254.4.157	2
74.93.123.8	7
97.64.76.201	9
115.79.164.179	5
11.234.17.101	3
163.33.15.129	6
141.139.192.156	10
186.135.186.75	13
199.91.215.136	6
61.27.171.180	4
138.180.249.145	9
201.118.104.73	6
67.25.62.171	4
39.65.46.216	7
47.143.149.253	7
12.20.89.73	11
202.122.138.50	15
3.196.171.190	4
75.206.189.39	7
112.213.68.189	10
210.96.60.216	15
49.107.209.24	6
89.59.190.72	5
210.143.218.6	11
212.186.84.3	5
3.12.191.184	5
13.202.36.200	7
24.106.169.153	5
21.59.64.33	7
65.164.22.32	3
11.68.218.39	7
93.59.118.215	5
104.201.214.211	8
176.184.106.225	5
13.247.71.123	3
184.67.90.232	6
192.58.247.36	6
216.154.143.47	10
171.204.152.228	4
173.94.105.41	2
234.64.61.248	4
34.32.234.252	8
42.97.111.24	5
134.9.74.196	5
83.250.161.56	9
56.5.83.111	12
2.132.46.94	5
39.239.192.99	4
154.13.80.191	9
79.102.223.228	7
160.162.225.229	9
160.81.136.239	4
167.79.235.71	7
72.18.198.244	8
80.165.221.252	5
64.40.150.107	7
94.130.184.34	10
162.243.39.136	9
178.246.164.117	10
158.13.72.135	7
191.162.115.15	7
204.235.50.59	9
176.234.103.196	9
206.246.101.217	7
218.79.247.164	6
147.50.151.64	8
233.182.132.97	4
66.179.172.50	5
41.64.45.122	5
205.43.162.144	8
224.248.127.43	5
208.148.217.30	6
45.173.49.165	5
227.2.9.120	12
172.110.200.220	8
235.116.110.128	6
239.139.157.250	5
239.220.91.248	9
239.225.181.96	8
247.215.108.67	6
33.222.223.208	4
127.53.200.239	6
134.163.151.150	6
253.170.133.164	4
85.42.24.129	9
12.151.61.117	7
45.209.55.166	5
61.59.97.226	5
96.179.44.222	9
116.173.128.246	8
177.142.220.155	12
183.23.168.134	7
172.73.72.164	4
63.146.21.96	5
254.19.217.178	5
72.199.122.223	5
79.198.2.184	7
82.139.48.240	4
98.55.250.198	8
124.155.68.205	11
143.168.143.122	7
181.12.183.87	8
185.233.147.239	3
103.98.147.232	10
105.116.72.19	3
24.196.234.133	11
64.2.221.42	5
112.69.248.123	10
122.204.41.218	6
197.103.100.219	10
148.201.102.228	7
131.223.35.152	7
209.133.66.174	9
152.236.151.84	8
224.14.237.243	3
75.183.31.8	11
84.237.19.250	12
213.71.182.170	7
92.70.134.117	3
209.166.80.93	5
32.213.203.14	6
92.42.223.213	3
229.147.100.42	4
8.81.1.51	8
136.212.79.153	10
172.76.115.39	8
143.102.55.158	6
238.28.147.71	8
43.213.242.188	5
159.188.242.87	4
179.97.54.67	4
54.244.1.197	4
19.208.107.241	6
118.15.50.248	5
137.99.164.203	4
88.239.239.60	9
142.62.114.105	9
176.13.10.43	5
102.4.144.140	6
108.78.211.136	8
115.70.179.125	5
120.63.56.205	5
34.165.13.46	8
178.86.20.122	12
227.140.55.190	6
106.94.9.191	10
172.151.128.54	7
57.140.117.60	8
232.121.159.38	6
47.231.72.196	7
170.211.250.179	9
111.236.188.77	7
163.215.248.29	2
4.54.70.62	5
7.185.199.134	8
195.128.190.227	7
90.130.241.254	7
18.19.11.164	9
163.251.206.173	10
19.254.124.51	5
170.71.118.212	8
59.231.55.73	5
244.178.196.103	8
252.109.41.75	3
240.252.19.155	9
135.148.136.19	6
36.214.242.205	6
97.89.52.214	6
129.84.230.64	8
146.216.34.64	9
123.41.131.106	6
64.220.234.98	10
207.21.176.250	8
208.164.183.75	11
45.42.168.123	11
114.210.242.210	13
115.137.101.112	4
49.158.45.63	6
103.166.79.166	7
60.113.2.172	8
177.36.162.74	4
216.154.82.136	6
135.129.188.212	6
25.220.135.36	9
106.172.108.74	8
14.53.156.90	8
215.136.18.135	5
67.68.68.148	4
152.69.192.93	11
215.106.246.207	5
219.194.214.202	2
49.152.178.83	4
7.25.140.82	12
26.178.183.179	9
75.237.32.220	6
28.30.60.229	6
70.238.188.87	7
29.238.40.213	9
73.155.236.236	14
12.6.26.120	3
37.168.17.160	8
120.199.92.79	6
140.142.45.27	6
212.98.177.229	10
215.235.49.184	4
99.219.228.157	8
189.84.205.168	8
223.245.14.169	10
42.116.173.94	3
59.135.198.189	11
49.75.102.71	3
79.99.58.30	6
158.211.159.170	6
94.143.24.90	9
89.31.180.186	8
99.253.64.142	8
97.70.11.64	7
176.241.181.221	7
11.228.204.188	13
68.88.143.53	9
76.91.71.240	10
70.239.71.241	12
24.30.40.174	6
7.224.126.172	5
110.171.218.54	5
8.216.49.213	5
160.238.5.147	4
114.92.145.47	7
178.166.199.18	1
181.85.80.66	6
132.117.248.8	10
32.251.106.2	8
190.207.252.216	6
88.81.133.53	7
183.9.182.81	10
194.198.180.128	9
199.86.102.121	6
210.156.223.185	6
212.234.158.51	10
108.81.8.112	9
213.45.191.205	5
214.67.3.81	10
216.52.252.59	5
219.60.128.247	10
167.179.188.191	8
79.170.105.60	10
148.33.34.146	9
16.136.133.194	4
39.141.107.13	7
230.253.219.35	5
11.98.158.80	7
49.183.64.232	4
50.4.99.4	6
86.37.69.167	7
91.245.226.46	4
33.84.248.226	10
118.24.46.237	11
126.178.130.129	13
233.34.174.197	6
5.164.109.143	11
48.157.38.245	6
112.159.91.199	7
125.196.128.50	15
127.109.19.82	9
133.147.134.201	9
140.159.85.188	4
155.26.86.254	13
101.64.172.57	8
216.162.139.2	7
177.42.240.243	5
224.157.30.71	5
173.179.112.201	10
199.4.196.143	8
241.13.104.105	8
244.32.94.217	6
246.16.16.74	5
249.78.248.184	12
102.175.234.232	7
250.135.225.173	4
158.210.83.217	4
101.78.58.221	6
199.109.157.170	4
13.164.167.125	10
197.48.176.200	7
249.167.8.177	6
3.173.29.173	8
92.195.132.237	8
121.188.90.154	5
48.36.169.253	4
54.14.171.224	8
29.253.244.222	5
179.152.5.182	6
185.184.61.180	9
200.100.43.217	3
11.116.109.207	15
118.185.85.32	3
77.158.143.232	6
99.171.98.21	9
27.252.2.89	6
143.70.94.136	6
216.162.208.13	5
230.93.147.41	3
242.111.100.71	7
243.32.203.15	9
8.113.230.41	8
247.75.93.132	4
251.15.144.129	6
10.34.33.134	8
73.254.197.26	7
59.101.43.188	6
145.152.168.206	8
31.12.17.106	4
156.220.47.83	3
128.51.81.95	9
159.10.100.236	7
62.181.116.116	3
136.42.74.52	11
99.1.104.26	4
137.240.173.73	7
195.109.9.223	5
192.187.190.139	10
209.68.163.96	7
1.229.185.179	5
23.100.49.218	4
32.135.13.232	10
93.68.28.28	10
93.90.135.209	6
120.249.211.187	6
90.67.251.247	5
156.207.230.79	4
166.107.84.21	5
212.170.60.2	5
219.102.73.141	4
178.191.125.90	9
91.17.40.12	9
102.164.163.222	8
220.50.33.144	5
160.159.106.29	7
212.76.41.190	7
187.75.31.200	8
172.79.98.146	13
236.210.69.92	8
237.158.176.4	8
76.32.111.72	9
46.77.77.175	11
143.138.5.214	5
224.208.124.130	8
135.27.30.180	14
136.251.80.125	13
150.56.131.126	10
99.155.166.227	5
31.75.246.109	9
212.187.7.61	7
180.68.185.236	6
227.65.165.51	6
81.181.202.128	10
142.14.144.253	5
136.103.36.27	3
107.119.156.15	9
52.65.137.117	4
139.70.2.179	7
159.65.58.11	4
189.129.216.127	6
3.129.226.238	7
207.160.169.72	6
3.112.35.98	12
209.35.161.137	5
2.61.158.102	8
73.160.48.189	11
8.83.251.225	7
130.156.251.152	6
46.91.199.201	7
36.244.50.173	8
51.31.44.157	8
136.152.234.98	6
63.103.236.109	7
205.162.99.50	5
212.16.158.178	6
32.134.158.37	5
204.103.130.74	5
39.53.86.108	7
91.5.232.204	7
79.222.136.171	10
3.74.3.234	4
116.33.15.171	11
120.126.206.132	4
71.106.93.239	6
58.161.197.22	4
17.185.210.181	2
94.35.182.223	8
10.117.83.79	7
46.65.179.120	8
56.176.124.173	7
100.84.34.158	12
134.162.79.145	8
135.216.114.32	4
140.100.247.39	14
156.229.169.131	7
164.237.167.181	6
104.53.225.44	9
165.66.108.103	8
113.74.213.109	3
193.124.110.241	6
195.145.49.203	7
6.199.240.130	8
214.204.105.206	9
5.153.23.217	9
216.211.253.128	6
191.206.63.164	5
125.76.202.25	4
139.61.110.87	2
218.158.216.30	6
161.19.68.236	5
78.83.122.203	8
104.79.160.225	8
91.79.47.85	12
66.174.94.24	6
125.29.216.192	4
189.120.12.11	5
219.247.179.63	9
37.200.194.9	7
221.150.115.126	9
26.223.174.167	2
78.111.198.90	7
78.142.95.226	9
214.121.189.199	4
234.181.227.84	7
238.5.208.120	7
141.207.26.169	7
238.128.82.195	7
20.151.22.130	9
88.94.181.68	6
125.178.137.57	6
159.186.214.17	7
180.13.43.32	11
39.135.224.140	9
201.253.190.156	6
209.78.151.135	8
187.5.111.32	12
66.210.65.251	8
223.141.27.4	5
5.210.251.57	3
148.75.211.65	12
166.254.198.75	12
203.174.250.58	7
225.186.149.174	5
234.20.80.143	4
238.156.93.34	3
239.85.184.84	4
155.173.187.226	8
222.119.232.193	6
67.34.238.229	5
115.80.71.165	5
224.103.31.174	6
182.152.163.93	10
241.205.45.111	6
126.241.113.217	9
242.158.235.181	9
226.88.73.225	6
242.208.5.205	7
244.142.125.190	7
21.29.110.147	7
219.111.104.62	9
245.137.104.221	6
247.57.157.39	7
248.147.61.102	6
251.35.94.176	9
46.244.207.76	9
119.162.253.121	5
123.231.110.18	6
251.99.250.84	5
140.218.165.73	8
19.232.85.10	7
50.149.70.15	3
55.59.81.249	8
251.120.17.98	10
159.163.140.230	11
202.163.237.86	5
13.206.248.137	7
34.3.155.72	7
33.41.84.138	2
21.158.243.2	10
252.55.53.156	11
68.31.160.122	6
164.139.93.119	7
243.167.193.248	6
107.117.45.23	5
94.19.41.152	10
61.168.52.231	9
198.89.151.1	10
98.142.196.106	8
160.46.69.62	6
107.251.86.249	10
135.36.80.4	7
45.194.133.41	4
222.17.106.164	7
16.128.113.110	4
121.76.59.164	8
83.8.199.153	3
204.68.232.157	9
176.49.148.10	3
250.84.25.82	9
93.32.46.172	5
161.180.31.188	7
219.147.172.122	3
196.89.149.149	3
216.74.54.221	7
165.53.162.227	9
181.86.125.22	7
219.205.8.64	7
230.188.35.69	6
48.141.195.195	10
122.57.94.95	12
147.21.194.47	6
55.180.230.70	6
124.35.30.163	10
162.125.169.152	6
1.127.188.176	9
55.128.37.75	9
92.164.209.2	11
249.186.212.154	6
70.217.188.125	5
7.233.125.130	6
21.173.97.179	5
142.39.171.170	5
122.159.149.8	6
43.109.158.13	11
69.124.211.244	1
88.58.137.243	6
132.204.223.231	4
178.126.234.161	5
182.14.155.87	8
188.128.131.83	9
208.236.99.109	3
46.209.237.60	7
77.50.12.139	9
228.52.195.44	6
54.145.161.25	2
14.27.48.1	5
96.86.167.192	5
153.81.82.1	8
30.200.60.102	5
185.251.109.168	11
172.242.69.156	5
248.204.96.111	6
201.250.171.223	4
45.29.173.183	4
201.105.118.170	4
92.140.167.3	6
71.222.210.197	9
121.250.59.230	6
250.197.75.131	7
149.214.185.60	3
76.16.73.202	5
111.147.36.249	3
37.245.135.141	4
138.200.187.81	5
140.101.242.240	7
198.91.14.68	10
198.159.92.238	10
3.99.142.197	6
121.220.231.43	6
161.44.142.127	7
189.132.141.7	8
91.89.94.193	3
143.202.99.71	7
67.90.249.226	5
111.82.43.249	4
213.207.212.234	5
245.193.131.160	8
21.91.151.96	7
113.135.178.157	10
250.49.159.148	13
110.75.14.52	5
108.66.248.8	6
254.12.186.240	6
4.63.160.140	3
5.38.147.105	4
66.106.190.189	7
7.96.239.134	5
51.239.37.244	5
43.230.4.82	7
166.251.92.44	7
182.172.214.28	9
118.19.98.211	10
251.232.131.64	3
75.238.38.173	9
57.94.44.16	6
66.112.16.59	5
182.47.36.241	4
184.211.232.177	11
154.164.55.27	7
127.166.83.96	2
87.52.172.167	6
187.251.199.96	4
234.7.52.234	6
174.207.221.222	8
10.153.140.249	7
78.87.38.150	9
10.56.193.210	9
26.216.30.113	2
42.71.128.196	6
72.193.76.37	4
111.244.84.9	3
112.130.144.159	6
110.83.38.239	5
151.46.225.118	6
84.8.106.104	4
167.102.205.239	5
180.85.13.236	11
196.54.226.88	6
208.182.186.206	7
229.1.212.25	5
49.104.227.157	9
236.223.45.80	8
236.5.150.20	5
8.103.230.129	8
68.12.76.174	5
164.141.14.179	5
120.48.21.194	7
241.232.167.207	5
253.67.153.230	7
121.33.29.172	11
103.102.193.225	5
103.185.34.27	6
140.52.43.161	7
151.44.174.140	7
151.160.235.238	4
199.93.145.85	8
221.55.15.31	8
91.117.139.67	10
150.12.23.69	4
41.198.46.86	5
45.144.197.197	7
186.5.19.182	7
3.111.106.140	4
28.45.32.253	7
209.209.173.139	6
59.59.139.233	7
222.57.85.245	7
18.35.69.177	4
69.76.146.202	7
173.194.139.159	8
15.186.126.66	6
170.72.113.72	6
77.97.254.195	14
135.169.53.195	5
175.108.85.33	8
57.55.21.146	6
252.33.91.96	15
247.82.32.149	7
71.155.13.238	9
97.144.220.112	3
209.164.144.45	4
75.97.106.227	6
146.179.28.249	9
73.42.179.139	4
156.160.90.109	5
252.143.201.66	11
138.141.149.4	7
210.243.75.39	10
15.99.51.230	5
28.1.133.24	1
47.249.200.94	8
78.214.163.159	3
4.79.36.239	4
56.229.116.156	5
108.146.215.196	5
147.163.74.109	6
206.23.59.188	14
242.221.212.10	5
109.174.180.19	4
44.12.132.184	10
85.243.155.36	6
195.165.20.22	6
208.93.118.26	8
220.45.84.251	6
213.245.18.41	2
228.49.164.59	6
93.175.157.245	5
158.219.254.44	11
225.79.166.7	9
151.11.123.122	10
88.208.49.109	11
44.147.38.70	8
177.169.106.241	5
177.38.207.89	4
80.241.126.49	6
183.203.24.90	9
37.84.97.108	8
92.230.13.242	5
112.151.224.59	9
193.68.204.67	15
108.40.166.216	5
129.214.118.65	3
129.240.162.41	8
73.161.60.82	7
204.241.88.89	3
212.170.131.134	4
216.225.8.243	8
166.206.170.144	12
229.67.4.103	7
170.159.5.149	1
2.14.32.135	4
122.22.65.158	11
124.116.185.57	5
240.235.239.213	9
2.64.55.25	9
129.134.174.113	5
182.177.178.175	11
253.175.95.122	5
110.37.54.135	4
133.99.248.159	4
155.16.140.124	8
12.207.97.106	4
61.192.242.135	7
81.244.35.66	8
116.209.57.239	2
125.160.212.183	1
158.141.82.149	4
164.161.218.200	3
180.129.97.10	7
189.39.177.45	3
212.238.34.152	4
253.51.190.23	10
41.140.43.78	6
183.143.160.47	8
205.159.168.120	5
11.69.94.47	5
127.222.123.187	5
20.46.19.23	12
22.200.131.143	7
45.241.234.250	7
47.65.62.10	7
97.150.80.166	6
242.30.206.50	9
94.87.145.244	8
16.61.173.62	5
50.169.53.125	9
19.230.235.33	11
171.174.238.52	7
254.236.171.41	5
80.135.163.70	6
24.217.147.186	5
118.113.139.42	6
190.196.21.113	9
171.166.174.197	9
235.39.231.37	5
239.135.17.35	4
110.37.73.214	4
5.171.75.196	4
179.171.49.160	9
215.91.199.240	5
42.136.116.14	10
47.122.118.103	7
70.217.188.193	7
103.203.59.176	12
59.209.35.192	9
217.67.14.127	6
